Country Name,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012
5,3341079,3244429,6155028,9792240,7254100,7479429,12515581,12896457,19111640,27143384,14616065
33,3578739,3777825,6742634,7810601,6847321,8113042,11972647,14147833,18540343,22602250,15660693
35,3939584,3866684,6927074,8009173,6871306,7681645,10708130,13152462,18121916,21918075,15014505
54,2698766,1640326,3839223,3113596,8379215,6597911,3933613,6599963,4344141,8415781,3163162
55,3347171,4723230,6223128,6640718,7863697,8893078,9826440,13944340,15722343,17010321,14327326
57,2740104,3512227,5792853,6182950,6624742,8111016,9111852,12967263,13739744,14421519,12056756
56,2740104,3512227,5792853,6182950,6624742,8111016,9111852,12967263,13739744,14421519,12056756
65,4801380,4341702,9288006,9722838,7896143,10942401,17129820,17169737,24916678,27367922,17360428
66,5359922,4471723,9350332,9524384,7983926,9450038,14173165,14810292,25684391,30148515,21332200
68,3836886,4319073,7063790,7892744,7387891,7094268,8803029,11520006,17921042,22788822,17905977
67,3828544,4174734,6874484,7804830,7360369,6661427,8418948,11087945,17956512,22771525,17812168
69,5043753,4117912,9205823,9643903,7415491,10297518,16423438,16777674,25648618,28614276,18108881
72,3708539,3936772,6475269,7994571,2364397,4357038,13234624,11483625,17076225,19840700,11765824
88,3552343,3840849,5867290,4839583,1716739,5800210,15357073,11632285,17339295,19639654,13112328
89,7400136,7730125,14177784,16023625,14314993,17139378,23840096,28790000,37212275,45416495,31144378
112,1534784,2458412,4902147,6355768,6180699,6797109,7407717,12201789,18072713,23657230,16979118
113,2426341,2092421,4811823,4948843,3707199,4991545,8982337,10003631,13168173,20054134,13702867
114,2620669,2369815,5076530,5131334,3885328,5157601,8975019,10035072,13327202,20089083,13624960
115,2726279,2480032,5046530,5145986,4044905,5152809,9108214,10216585,13453548,20361031,13871192
117,2939781,3231728,2207198,3744892,772959,4744832,13954562,10466519,14418448,14354763,11043501
123,0,0,0,0,0,0,749912,0,0,0,434150
124,3315688,4031219,5760550,4931794,1435978,5412681,12972161,12216628,17731955,20186749,14669197
