datasets_path,classifier,n_jobs,random_seed,test_fraction,log_file,query_strategy,dataset_name,cluster,batch_size,plot,output_path,hyper_search_type,total_budget,amount_of_peaked_objects,plot_evolution,representative_features,stop_after_maximum_accuracy_reached,state_diff_probas,state_argsecond_probas,state_argthird_probas,state_distances_lab,state_distances_unlab,state_predicted_class,state_predicted_unity,state_distances,state_uncertainties,batch_mode,distance_metric,state_include_nr_features,pre_sampling_method,pre_sampling_arg,pre_sampling_hybrid_uncert,pre_sampling_hybrid_furthest,pre_sampling_hybrid_furthest_lab,pre_sampling_hybrid_pred_unity,amount_of_synthetic_labelling_functions,disable_fake_experiment_oracle,ws_mode,use_ws_labels_continously,andreas,andreas_number,len_train_data,synthetic_creation_args,acc_auc,cores,fit_time,acc_test,acc_test_oracle,f1_test_oracle,precision_test_oracle,recall_test_oracle,f1_auc,thread_id,end_time,amount_of_all_labels,shape,n_samples,__n_features,m_rel,m_red,m_irr,n_classes,n_clusters_per_class,mov_vectors,random_state
../datasets,RF,1,13,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,7475,"{'shape': None, 'n_samples': 14950, '__n_features': 45, 'm_rel': 21, 'm_red': 14, 'm_irr': 10, 'n_classes': 7, 'n_clusters_per_class': 4, 'mov_vectors': None, 'random_state': 33948}",0.20078929765886286,1,60.5380276106298,0.21792642140468227,0.0,0.0,0.0,0.0,0.17242558451122153,47681669439552,2021-09-10 11:36:01.486876,57,,14950,45,21,14,10,7,4,,33948
../datasets,RF,1,24,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,9850,"{'shape': None, 'n_samples': 19700, '__n_features': 55, 'm_rel': 44, 'm_red': 5, 'm_irr': 6, 'n_classes': 7, 'n_clusters_per_class': 4, 'mov_vectors': None, 'random_state': 93368}",0.1759695431472081,1,67.89820550195873,0.1948223350253807,0.0,0.0,0.0,0.0,0.13764950943510307,47634927833152,2021-09-10 11:36:15.115131,57,,19700,55,44,5,6,7,4,,93368
../datasets,RF,1,3,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,15200,"{'shape': None, 'n_samples': 30400, '__n_features': 36, 'm_rel': 29, 'm_red': 2, 'm_irr': 5, 'n_classes': 17, 'n_clusters_per_class': 10, 'mov_vectors': None, 'random_state': 31190}",0.06855263157894738,1,116.0384119451046,0.0693421052631579,0.0,0.0,0.0,0.0,0.048937787459798425,47842023075904,2021-09-10 11:36:29.004902,67,,30400,36,29,2,5,17,10,,31190
../datasets,RF,1,4,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,7800,"{'shape': None, 'n_samples': 15600, '__n_features': 8, 'm_rel': 6, 'm_red': 1, 'm_irr': 1, 'n_classes': 6, 'n_clusters_per_class': 2, 'mov_vectors': None, 'random_state': 30939}",0.3866346153846154,1,59.82050836086273,0.4323076923076923,0.0,0.0,0.0,0.0,0.3671658884001441,47369094713408,2021-09-10 11:37:39.845575,56,,15600,8,6,1,1,6,2,,30939
../datasets,RF,1,14,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,15800,"{'shape': None, 'n_samples': 31600, '__n_features': 46, 'm_rel': 24, 'm_red': 12, 'm_irr': 10, 'n_classes': 18, 'n_clusters_per_class': 4, 'mov_vectors': None, 'random_state': 14002}",0.08181012658227849,1,122.19108410552144,0.09208860759493671,0.0,0.0,0.0,0.0,0.05528673016194422,47558617403456,2021-09-10 11:38:17.642769,68,,31600,46,24,12,10,18,4,,14002
../datasets,RF,1,25,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,19700,"{'shape': None, 'n_samples': 39400, '__n_features': 55, 'm_rel': 49, 'm_red': 0, 'm_irr': 6, 'n_classes': 11, 'n_clusters_per_class': 8, 'mov_vectors': None, 'random_state': 49409}",0.10151776649746194,1,120.76057310774922,0.10928934010152284,0.0,0.0,0.0,0.0,0.07113004988309071,47672373190720,2021-09-10 11:38:27.395501,61,,39400,55,49,0,6,11,8,,49409
../datasets,RF,1,5,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,6575,"{'shape': None, 'n_samples': 13150, '__n_features': 49, 'm_rel': 38, 'm_red': 11, 'm_irr': 0, 'n_classes': 16, 'n_clusters_per_class': 4, 'mov_vectors': None, 'random_state': 81644}",0.08126235741444866,1,69.91381912305951,0.08821292775665399,0.0,0.0,0.0,0.0,0.052916653582543716,47210093756480,2021-09-10 11:39:00.828884,66,,13150,49,38,11,0,16,4,,81644
../datasets,RF,1,15,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,325,"{'shape': None, 'n_samples': 650, '__n_features': 35, 'm_rel': 33, 'm_red': 0, 'm_irr': 2, 'n_classes': 9, 'n_clusters_per_class': 1, 'mov_vectors': None, 'random_state': 27391}",0.23276923076923076,1,35.80208819359541,0.2923076923076923,0.0,0.0,0.0,0.0,0.20789678309988666,47343809302592,2021-09-10 11:39:04.685941,59,,650,35,33,0,2,9,1,,27391
../datasets,RF,1,16,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,12050,"{'shape': None, 'n_samples': 24100, '__n_features': 32, 'm_rel': 22, 'm_red': 4, 'm_irr': 6, 'n_classes': 9, 'n_clusters_per_class': 8, 'mov_vectors': None, 'random_state': 47385}",0.1252033195020747,1,80.57019316032529,0.13211618257261412,0.0,0.0,0.0,0.0,0.086298510125649,47228332613696,2021-09-10 11:40:33.319941,59,,24100,32,22,4,6,9,8,,47385
../datasets,RF,1,6,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,21075,"{'shape': None, 'n_samples': 42150, '__n_features': 7, 'm_rel': 5, 'm_red': 1, 'm_irr': 1, 'n_classes': 3, 'n_clusters_per_class': 1, 'mov_vectors': None, 'random_state': 75211}",0.6960901542111507,1,83.95424825325608,0.8191221826809015,0.0,0.0,0.0,0.0,0.6836920162522553,47162163716160,2021-09-10 11:40:36.381268,53,,42150,7,5,1,1,3,1,,75211
