dataset_id,strategy_id,dataset_random_seed,strategy,duration,f1_auc,n_samples,n_features,n_informative,n_redundant,n_repeated,n_classes,n_clusters_per_class,weights,flip_y,class_sep,hypercube,scale,random_state
15,14,35,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},116.1230476910714,0.6273383975714539,400,4097,4097,0,0,40,?,?,?,?,?,?,35
15,14,36,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},116.11898837517947,0.5584423265846642,400,4097,4097,0,0,40,?,?,?,?,?,?,36
15,14,37,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},116.36186885205097,0.5601942195111398,400,4097,4097,0,0,40,?,?,?,?,?,?,37
15,14,34,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},117.41763347783126,0.5682605514095991,400,4097,4097,0,0,40,?,?,?,?,?,?,34
15,14,38,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},117.41975178779103,0.5832019732439042,400,4097,4097,0,0,40,?,?,?,?,?,?,38
15,14,33,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},117.79171967809089,0.5827092135404379,400,4097,4097,0,0,40,?,?,?,?,?,?,33
15,14,32,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},117.19507805886678,0.5611467050632135,400,4097,4097,0,0,40,?,?,?,?,?,?,32
15,14,39,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},111.7597127710469,0.5837069010434235,400,4097,4097,0,0,40,?,?,?,?,?,?,39
15,14,40,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},108.82799184299074,0.5231018082294601,400,4097,4097,0,0,40,?,?,?,?,?,?,40
15,14,44,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},109.43162682908587,0.6140804359022469,400,4097,4097,0,0,40,?,?,?,?,?,?,44
15,14,43,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},111.10154687287286,0.5738620783623298,400,4097,4097,0,0,40,?,?,?,?,?,?,43
