dataset_id,strategy_id,dataset_random_seed,strategy,duration,f1_auc,n_samples,n_features,n_informative,n_redundant,n_repeated,n_classes,n_clusters_per_class,weights,flip_y,class_sep,hypercube,scale,random_state
11,14,2,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},33.985290698707104,0.8343303235047804,690,15,15,0,0,2,?,?,?,?,?,?,2
11,14,1,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},34.688020031899214,0.839125880901743,690,15,15,0,0,2,?,?,?,?,?,?,1
11,14,5,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},34.811539351940155,0.84938217097668,690,15,15,0,0,2,?,?,?,?,?,?,5
11,14,0,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},34.91899114474654,0.846815345082472,690,15,15,0,0,2,?,?,?,?,?,?,0
11,14,3,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},35.40521129965782,0.8304529357463946,690,15,15,0,0,2,?,?,?,?,?,?,3
11,14,7,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},34.94705339893699,0.806828473206491,690,15,15,0,0,2,?,?,?,?,?,?,7
11,14,6,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},35.62805201113224,0.7994539959994277,690,15,15,0,0,2,?,?,?,?,?,?,6
11,14,4,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},35.98679759353399,0.8391754393911415,690,15,15,0,0,2,?,?,?,?,?,?,4
11,14,8,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},34.877305414527655,0.8439974625182346,690,15,15,0,0,2,?,?,?,?,?,?,8
11,14,12,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},34.1620492041111,0.8422996075922144,690,15,15,0,0,2,?,?,?,?,?,?,12
11,14,11,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},34.382464945316315,0.8249136766396028,690,15,15,0,0,2,?,?,?,?,?,?,11
11,14,15,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},34.714246183633804,0.8325307898274896,690,15,15,0,0,2,?,?,?,?,?,?,15
11,14,9,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},34.80392633378506,0.8611694377196123,690,15,15,0,0,2,?,?,?,?,?,?,9
11,14,16,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},34.76860035583377,0.8245151923997762,690,15,15,0,0,2,?,?,?,?,?,?,16
11,14,10,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},35.06696241721511,0.8304929803437657,690,15,15,0,0,2,?,?,?,?,?,?,10
11,14,13,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},35.154875099658966,0.8135094157510402,690,15,15,0,0,2,?,?,?,?,?,?,13
11,14,17,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},34.616859164088964,0.8287722181484314,690,15,15,0,0,2,?,?,?,?,?,?,17
11,14,14,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},35.60513415560126,0.8324733204323428,690,15,15,0,0,2,?,?,?,?,?,?,14
11,14,18,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},34.90067893266678,0.8443041910947555,690,15,15,0,0,2,?,?,?,?,?,?,18
11,14,22,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},33.89474965631962,0.8262456924110536,690,15,15,0,0,2,?,?,?,?,?,?,22
11,14,21,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},34.21001913398504,0.8445922148723943,690,15,15,0,0,2,?,?,?,?,?,?,21
11,14,19,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},34.39075766131282,0.8385664156380734,690,15,15,0,0,2,?,?,?,?,?,?,19
11,14,20,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},34.72608736529946,0.8330794316046642,690,15,15,0,0,2,?,?,?,?,?,?,20
11,14,25,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},34.852336805313826,0.8443435112205956,690,15,15,0,0,2,?,?,?,?,?,?,25
11,14,26,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},34.701059486716986,0.8343129269339734,690,15,15,0,0,2,?,?,?,?,?,?,26
11,14,24,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},35.33225632086396,0.8196275520990961,690,15,15,0,0,2,?,?,?,?,?,?,24
11,14,23,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},35.450138330459595,0.8017931744477369,690,15,15,0,0,2,?,?,?,?,?,?,23
11,14,27,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},35.38918176665902,0.8151014228551114,690,15,15,0,0,2,?,?,?,?,?,?,27
11,14,28,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},34.82496429234743,0.8532813292629081,690,15,15,0,0,2,?,?,?,?,?,?,28
11,14,32,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},34.01161363348365,0.8200511620998767,690,15,15,0,0,2,?,?,?,?,?,?,32
11,14,31,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},34.45620086044073,0.7991082704317621,690,15,15,0,0,2,?,?,?,?,?,?,31
11,14,38,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},34.637926023453474,0.8353551273624886,690,15,15,0,0,2,?,?,?,?,?,?,38
11,14,29,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},34.77877824380994,0.8270730972164797,690,15,15,0,0,2,?,?,?,?,?,?,29
11,14,30,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},34.80321357771754,0.8469818476532514,690,15,15,0,0,2,?,?,?,?,?,?,30
11,14,35,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},34.89008176699281,0.8314766663213217,690,15,15,0,0,2,?,?,?,?,?,?,35
11,14,33,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},35.300477616488934,0.8249353287677055,690,15,15,0,0,2,?,?,?,?,?,?,33
11,14,34,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},35.34496835246682,0.820899461261094,690,15,15,0,0,2,?,?,?,?,?,?,34
